iter	MultiClass
0	1.029861957
1	0.9802398953
2	0.9363664921
3	0.8990005086
4	0.8640757126
5	0.8337294406
6	0.8101160182
7	0.7872524791
8	0.7665411128
9	0.747207734
10	0.7308263704
11	0.7186101256
12	0.7081913815
13	0.6965180756
14	0.6850763009
15	0.6735921552
16	0.6653678167
17	0.6565861943
18	0.6489993926
19	0.6424616211
20	0.6372862496
21	0.6311959558
22	0.6261804334
23	0.6222486801
24	0.6181615878
25	0.6125785616
26	0.6080705571
27	0.6039192986
28	0.5998431518
29	0.5954977719
30	0.5917341337
31	0.5886737643
32	0.5862805622
33	0.5822297151
34	0.5784751462
35	0.575817095
36	0.5732030719
37	0.5704722797
38	0.5687568714
39	0.5670727916
40	0.5650165002
41	0.5626203797
42	0.5608275057
43	0.5588214107
44	0.557196432
45	0.5561234904
46	0.5535544446
47	0.5525856053
48	0.5508825614
49	0.5496285654
50	0.5484346693
51	0.5456455051
52	0.5434991594
53	0.5423697064
54	0.5402090503
55	0.539772862
56	0.5381769069
57	0.5367052442
58	0.5359535771
59	0.5343945113
60	0.5326898127
61	0.5314339716
62	0.5300108313
63	0.5287180537
64	0.5275081857
65	0.5262145627
66	0.5255769446
67	0.5242669707
68	0.5232546063
69	0.522219273
70	0.5214163388
71	0.5201677221
72	0.5193350198
73	0.518292775
74	0.5162455314
75	0.5148986251
76	0.5138910598
77	0.5121570478
78	0.5098866522
79	0.5092334277
80	0.5086022466
81	0.5077044133
82	0.5062814531
83	0.5056496729
84	0.504951765
85	0.5039496295
86	0.5029385507
87	0.5016384127
88	0.5005768624
89	0.4994968815
90	0.4982532666
91	0.4964619722
92	0.4947962269
93	0.4939789463
94	0.4933668017
95	0.4928627025
96	0.4921807933
97	0.4915685563
98	0.4901572529
99	0.4890743061
100	0.4886341965
101	0.4879477547
102	0.4873013018
103	0.486610459
104	0.4856201761
105	0.485167249
106	0.4841334229
107	0.4829094332
108	0.4816166192
109	0.480888291
110	0.4794742756
111	0.4781585965
112	0.4773587498
113	0.4769832175
114	0.4761858279
115	0.474862954
116	0.4730754262
117	0.4723465631
118	0.4716890851
119	0.4702783641
120	0.4689106767
121	0.468163851
122	0.4673260259
123	0.4661245003
124	0.4650592761
125	0.4634383537
126	0.4624382484
127	0.4615474812
128	0.4605292687
129	0.4596177443
130	0.4593913891
131	0.4583416791
132	0.4573161474
133	0.4565899409
134	0.4554991689
135	0.455029154
136	0.454514091
137	0.4537160563
138	0.452446473
139	0.4518899943
140	0.4514219627
141	0.45068289
142	0.4493951206
143	0.4485311518
144	0.4473860332
145	0.4466861387
146	0.4459853101
147	0.4454042092
148	0.4445729462
149	0.444289042
150	0.4433063382
151	0.4426688668
152	0.4417148481
153	0.4412033766
154	0.4398543063
155	0.4388067365
156	0.4383414232
157	0.4368790363
158	0.4361549477
159	0.4352321465
160	0.4341651027
161	0.4332397828
162	0.4318588394
163	0.4308703424
164	0.4302236186
165	0.4299327219
166	0.4292835269
167	0.428941885
168	0.4285270115
169	0.4270796292
170	0.4264976993
171	0.4255309955
172	0.4245867534
173	0.4242715178
174	0.4234916359
175	0.4228181152
176	0.4221812556
177	0.4215435771
178	0.4207654114
179	0.419618107
180	0.4188847205
181	0.4185821799
182	0.418149224
183	0.4174922421
184	0.4166314921
185	0.4158753139
186	0.4150814103
187	0.4143425196
188	0.4138217613
189	0.412829127
190	0.4124050671
191	0.4120641038
192	0.4115584353
193	0.4109289163
194	0.4105620222
195	0.4101371378
196	0.4091908105
197	0.4089677914
198	0.4084480985
199	0.4082099114
200	0.4073689422
201	0.4068662117
202	0.4063446679
203	0.4059901226
204	0.4058542947
205	0.4054669647
206	0.405356087
207	0.4050099175
208	0.4043961061
209	0.4034162841
210	0.4028979365
211	0.4018406669
212	0.4012552575
213	0.4004381537
214	0.3999353043
215	0.3993808824
216	0.3990711568
217	0.3988240963
218	0.3984790856
219	0.3979864458
220	0.3972453971
221	0.3971400343
222	0.3964377902
223	0.3957583846
224	0.3950760202
225	0.394125872
226	0.3935407605
