iter	Passed	Remaining
0	177	177630
1	191	95558
2	206	68488
3	219	54698
4	240	47761
5	254	42113
6	273	38743
7	286	35553
8	303	33408
9	319	31650
10	333	30020
11	353	29131
12	370	28093
13	397	27960
14	412	27056
15	429	26421
16	457	26450
17	470	25672
18	485	25079
19	500	24520
20	523	24409
21	540	24014
22	555	23616
23	574	23354
24	592	23119
25	612	22942
26	631	22759
27	648	22525
28	671	22492
29	695	22487
30	713	22306
31	731	22121
32	745	21842
33	768	21839
34	786	21675
35	800	21441
36	821	21382
37	835	21148
38	848	20907
39	870	20884
40	887	20769
41	912	20813
42	930	20711
43	946	20564
44	971	20623
45	987	20471
46	1005	20396
47	1027	20378
48	1047	20338
49	1066	20271
50	1081	20123
51	1095	19971
52	1110	19836
53	1123	19687
54	1139	19574
55	1158	19531
56	1186	19632
57	1217	19777
58	1236	19728
59	1263	19797
60	1292	19903
61	1317	19935
62	1337	19896
63	1360	19893
64	1376	19801
65	1392	19705
66	1409	19623
67	1426	19553
68	1445	19506
69	1464	19451
70	1477	19336
71	1500	19336
72	1523	19344
73	1535	19214
74	1548	19100
75	1561	18986
76	1576	18903
77	1590	18798
78	1605	18715
79	1616	18591
80	1630	18504
81	1643	18403
82	1657	18307
83	1673	18246
84	1686	18152
85	1696	18035
86	1709	17943
87	1723	17860
88	1738	17791
89	1751	17714
90	1764	17623
91	1775	17523
92	1786	17421
93	1796	17316
94	1807	17221
95	1817	17118
96	1827	17013
97	1837	16910
98	1848	16827
99	1862	16760
100	1876	16703
101	1891	16655
102	1904	16588
103	1920	16549
104	1940	16539
105	1957	16508
106	1968	16428
107	1983	16381
108	2000	16353
109	2019	16337
110	2035	16300
111	2051	16263
112	2064	16204
113	2080	16166
114	2095	16125
115	2109	16076
116	2119	15998
117	2131	15930
118	2142	15862
119	2157	15818
120	2167	15745
121	2177	15672
122	2189	15607
123	2202	15561
124	2223	15561
125	2233	15494
126	2244	15430
127	2255	15365
128	2265	15299
129	2277	15240
130	2286	15170
131	2298	15116
132	2312	15072
133	2322	15009
134	2332	14946
135	2342	14879
136	2351	14813
137	2361	14751
138	2371	14690
139	2384	14646
140	2395	14593
141	2411	14568
142	2421	14514
143	2435	14478
144	2447	14430
145	2457	14375
146	2467	14319
147	2477	14263
148	2490	14224
149	2501	14175
150	2515	14141
151	2531	14124
152	2547	14101
153	2559	14062
154	2575	14040
155	2590	14014
156	2601	13968
157	2616	13942
158	2631	13916
159	2642	13875
160	2656	13845
161	2669	13808
162	2680	13765
163	2690	13716
164	2702	13678
165	2713	13630
166	2726	13599
167	2739	13567
168	2752	13532
169	2763	13490
170	2775	13455
171	2786	13413
172	2796	13366
173	2808	13333
174	2819	13290
175	2831	13257
176	2842	13215
177	2855	13186
178	2866	13145
179	2877	13110
180	2891	13084
181	2900	13037
182	2910	12993
183	2924	12970
184	2939	12951
185	2954	12931
186	2965	12893
187	2977	12859
188	2989	12828
189	3000	12792
190	3013	12763
191	3025	12730
192	3037	12699
193	3047	12663
194	3059	12628
195	3070	12597
196	3084	12574
197	3097	12546
198	3109	12517
199	3123	12492
200	3136	12466
201	3159	12479
202	3174	12463
203	3189	12443
204	3201	12417
205	3212	12380
206	3223	12347
207	3240	12339
208	3255	12320
209	3266	12288
210	3278	12258
